id,nombre,apellido,email,telefono,direccion,ciudad,estado,codigo_postal,pais,empresa,puesto,fecha_registro,fecha_ultima_compra,producto_favorito,monto_total_compras,frecuencia_compra,metodo_pago,activo,notas,fecha_nacimiento,genero,nivel_ingresos,nivel_satisfaccion,cliente_recurrente,nps,descuento,tipo_cliente,referido_por,region
a4a46f90-f51e-4fa3-8def-8acc3ea7e202,Keith,Nelson,heidi41@example.net,530.844.2048x578,918 Beard Spurs Apt. 563,Kimberlymouth,Hawaii,89910,Italy,Allen-Hernandez,"Producer, radio",2023-07-03,2025-03-25,occur,1241.31,Alta,Transferencia,False,Drive art during tell industry.,2006-11-23,F,Bajo,1,False,67,2%,Leal,Christine Brown,Norte
181cb3da-6b9a-490b-8715-443cbfde1e18,Andrew,Davis,jasonsellers@example.org,(300)664-1030,83026 Ryan Center Apt. 769,Brianstad,Montana,06255,Comoros,Robinson-Davidson,Financial trader,2025-04-29,2025-03-03,seat,7001.02,Baja,Tarjeta,False,All himself form land.,1981-10-12,Otro,Alto,4,False,-38,37%,VIP,Jennifer Morrison,Internacional
f54e20a4-1fed-49cd-8d9e-2c44e94c485d,Stephen,Pearson,charlottebrandt@example.net,(417)733-6866x257,55091 Williams Knoll Apt. 658,Shawnview,Idaho,76003,Jersey,Austin-Williams,Clothing/textile technologist,2023-10-06,2024-08-19,believe,5114.86,Baja,Transferencia,True,Society room family must arrive.,1980-03-10,M,Alto,8,True,15,24%,VIP,Richard Bennett,Este
d26dd0e5-c129-40bc-87a8-ec53ec5daf89,Andrew,Jones,ashleyochoa@example.net,(638)556-2059,30523 Greene Burgs,East Lauren,Vermont,98827,Georgia,"Stewart, Perry and Grant",Clinical research associate,2024-06-30,2025-03-17,official,6635.88,Alta,Efectivo,True,Raise while mind.,1965-03-15,F,Medio,2,False,52,41%,Nuevo,Shannon Hendrix,Este
377d2ba9-0d2e-4381-b031-ad052fe86827,Matthew,Peterson,philiplopez@example.com,001-952-449-7796x94061,146 Paul Avenue,Teresaside,Illinois,67456,Italy,"Davis, Trevino and Mckay",Technical brewer,2024-02-04,2025-02-17,your,701.91,Media,Tarjeta,True,Why fine administration course professional.,1962-10-25,Otro,Medio,9,True,0,0%,Potencial,Lucas Barron,Sur
85de7dcb-2432-4a2a-ac78-e8755913ae0d,Ashley,Martin,bishoprichard@example.com,+1-984-980-9869,4337 Peters Dam,Michaelfort,Kansas,92785,Cote d'Ivoire,"Baker, Green and Bailey","Journalist, newspaper",2025-04-10,2025-03-01,system,9569.44,Alta,Tarjeta,False,Else check force admit raise perform fall tend.,1968-03-22,Otro,Medio,4,False,-69,44%,Nuevo,Megan Spencer,Oeste
b07b5e4c-1ae7-40a9-bf3f-4b18e88a6687,Charlene,Lambert,choialexis@example.com,+1-438-253-9332x3492,298 Reed Mission,Priceborough,Iowa,19398,Solomon Islands,Martinez LLC,"Engineer, manufacturing systems",2023-05-18,2024-05-13,deep,9942.49,Media,Tarjeta,True,Gas while ask involve building.,1966-09-14,M,Medio,2,False,51,9%,Potencial,Patrick Jacobs,Internacional
50326a2b-7898-4240-b622-7a92ea5f58c6,Tammy,Lopez,cameronrodriguez@example.com,8577326937,8128 Fox Cliffs,Port Scott,Delaware,30133,Zimbabwe,Benson-Santos,Haematologist,2024-05-30,2025-04-23,everybody,2067.05,Baja,Efectivo,False,Alone major forget power behind himself however.,1977-09-11,Otro,Bajo,9,False,73,43%,Potencial,Megan Cochran,Este
ec6c61cc-d25c-4bbe-ad4c-6a9b7fe1c1c7,Karen,Cohen,deanprice@example.org,809-498-7774x74160,077 Mata Heights Apt. 659,Lake Jennaburgh,Alaska,23854,Montserrat,"Green, Richardson and Kelly",Higher education careers adviser,2025-04-06,2024-12-07,their,2564.25,Baja,Transferencia,True,Story base really culture myself myself cold.,1992-12-07,Otro,Medio,9,True,13,10%,Leal,Michelle Hart,Este
87855214-a7d2-4a35-827d-17a981564e43,Amanda,Martinez,tylergreene@example.com,799-815-5613,360 Goodman Mountains Suite 802,Joshuashire,North Carolina,06777,Sudan,Ayers-Rogers,Ranger/warden,2025-01-09,2024-08-20,realize,190.16,Baja,PayPal,True,Expert present idea try life war share.,1994-01-14,M,Medio,3,True,-25,23%,Potencial,Susan Archer,Oeste
